question,goal
Can you please walk me through the quadratic formula?,I need help on an assignment
What are Newton's laws of motion?,I need help on an assignment
Can you please compare Baroque and Classical music?,I need help on an assignment
How and where can I find inspiration?,I want to improve my day-to-day living
What are some strategies for establishing work/life harmony?,I want to improve my day-to-day living
What are some steps I can take towards improving my anxiety?,I want to improve my day-to-day living
How can I integrate spirituality into my daily life?,I want to improve my day-to-day living
How can I use my career to serve my community?,I want to grow my life direction
What are some skills I should learn for my professiona growth? ,I want to grow my life direction
How can I get started in tech?,I want to grow my life direction
What are some alternatives to a 4-year degree?,I want to grow my life direction
How can I take advanced coursework if my school doesn't offer it?,I want to grow my life direction
